epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5979.55,0.69785,1.7412,1.0516,0.58895,0.64373,0.64841,0.57849,0.41534,0.76408,0.87818,0.00333281,0.00333281,0.00333281
2,11813.8,0.65389,1.11098,1.00781,0.63356,0.75182,0.72511,0.64437,0.39658,0.62052,0.8691,0.00653415,0.00653415,0.00653415
3,17597.6,0.69875,1.13515,1.02729,0.71535,0.73644,0.7402,0.66817,0.38827,0.60819,0.86607,0.00960349,0.00960349,0.00960349
4,23373.8,0.68179,1.07987,1.01943,0.70833,0.76574,0.77794,0.70699,0.35672,0.52901,0.85745,0.009406,0.009406,0.009406
5,29131.8,0.62172,0.94152,0.99476,0.70463,0.81328,0.79702,0.72504,0.33153,0.47474,0.84461,0.009208,0.009208,0.009208
6,34769.4,0.59168,0.86781,0.98215,0.74481,0.8231,0.81262,0.7405,0.31803,0.44935,0.83657,0.00901,0.00901,0.00901
7,40398.7,0.56718,0.81741,0.97096,0.76511,0.81566,0.82794,0.76393,0.30794,0.42529,0.83058,0.008812,0.008812,0.008812
8,46026.8,0.55186,0.7795,0.96561,0.75804,0.83518,0.8364,0.77568,0.30025,0.41088,0.82691,0.008614,0.008614,0.008614
9,51665.3,0.53913,0.74676,0.95977,0.76387,0.83829,0.84193,0.78259,0.29778,0.40152,0.8261,0.008416,0.008416,0.008416
10,57306.2,0.52829,0.72361,0.95592,0.76468,0.84761,0.84453,0.78541,0.29519,0.39507,0.82517,0.008218,0.008218,0.008218
11,62946.2,0.52189,0.71012,0.9533,0.77098,0.84004,0.84735,0.78708,0.29225,0.39045,0.82414,0.00802,0.00802,0.00802
12,5799.96,0.52057,0.71509,0.95346,0.7677,0.84774,0.84891,0.78999,0.29049,0.38747,0.82359,0.007822,0.007822,0.007822
13,11563.8,0.52245,0.70532,0.95456,0.76651,0.84926,0.85075,0.79204,0.28915,0.38472,0.82301,0.007624,0.007624,0.007624
14,17323.7,0.51193,0.69146,0.95067,0.76425,0.85076,0.85367,0.79575,0.28752,0.38041,0.82251,0.007426,0.007426,0.007426
15,23089.3,0.50589,0.67466,0.94752,0.76353,0.85402,0.85531,0.79811,0.28578,0.37704,0.82162,0.007228,0.007228,0.007228
16,28821.1,0.49872,0.65709,0.94392,0.76832,0.84705,0.85694,0.79968,0.28345,0.37219,0.82068,0.00703,0.00703,0.00703
17,34526.6,0.49667,0.64885,0.94448,0.77015,0.8487,0.85837,0.80124,0.28181,0.3684,0.82008,0.006832,0.006832,0.006832
18,40223.2,0.48852,0.63622,0.93965,0.77991,0.8449,0.86168,0.80488,0.28045,0.36523,0.81927,0.006634,0.006634,0.006634
19,78677.9,0.48472,0.62676,0.93891,0.77409,0.85275,0.86457,0.80799,0.27898,0.36132,0.81841,0.006436,0.006436,0.006436
20,84388.7,0.47999,0.61529,0.93661,0.77473,0.85719,0.86691,0.81044,0.27709,0.35737,0.81729,0.006238,0.006238,0.006238
21,90079.6,0.47543,0.60547,0.93513,0.77411,0.86416,0.86897,0.81284,0.27488,0.3537,0.81586,0.00604,0.00604,0.00604
22,95784.2,0.47461,0.60437,0.93416,0.77711,0.86575,0.87047,0.81482,0.27313,0.35021,0.81458,0.005842,0.005842,0.005842
23,101488,0.47066,0.59453,0.93311,0.7817,0.86632,0.87258,0.8176,0.27173,0.34699,0.81352,0.005644,0.005644,0.005644
24,107193,0.46594,0.58774,0.93206,0.77856,0.86691,0.87422,0.82034,0.27038,0.34363,0.81289,0.005446,0.005446,0.005446
25,114227,0.4613,0.58043,0.92933,0.78259,0.86839,0.87583,0.82122,0.26936,0.33978,0.81218,0.005248,0.005248,0.005248
26,119934,0.45874,0.57147,0.92851,0.78153,0.8687,0.87722,0.82293,0.26803,0.33623,0.81108,0.00505,0.00505,0.00505
27,125629,0.45408,0.56722,0.92587,0.78449,0.86984,0.87873,0.82524,0.26694,0.33317,0.81045,0.004852,0.004852,0.004852
28,131337,0.45008,0.55633,0.92519,0.78706,0.87054,0.87944,0.82662,0.26508,0.33047,0.80946,0.004654,0.004654,0.004654
29,137043,0.44677,0.55005,0.9234,0.79151,0.87121,0.88153,0.82932,0.26347,0.32792,0.80853,0.004456,0.004456,0.004456
30,142744,0.44296,0.54267,0.92314,0.79113,0.87441,0.88418,0.83286,0.26224,0.32486,0.80789,0.004258,0.004258,0.004258
31,5804.94,0.43008,0.52409,0.91848,0.78979,0.87225,0.88437,0.83219,0.26091,0.3226,0.80716,0.00406,0.00406,0.00406
32,11521.5,0.43507,0.52531,0.92123,0.78836,0.8756,0.88581,0.83455,0.25971,0.32084,0.80649,0.003862,0.003862,0.003862
33,17122.7,0.42757,0.51922,0.91796,0.78931,0.88405,0.88717,0.83652,0.25778,0.31838,0.80571,0.003664,0.003664,0.003664
34,22804.8,0.42333,0.51166,0.91579,0.79177,0.88643,0.88818,0.83783,0.2566,0.31654,0.80525,0.003466,0.003466,0.003466
35,28503.2,0.41978,0.50435,0.91512,0.79223,0.88725,0.88866,0.83872,0.25545,0.31452,0.80485,0.003268,0.003268,0.003268
36,34209,0.41864,0.49934,0.91398,0.79536,0.88354,0.88932,0.84029,0.25468,0.3129,0.80417,0.00307,0.00307,0.00307
37,39915.4,0.41046,0.48811,0.91175,0.79361,0.88886,0.89035,0.84141,0.25418,0.31182,0.80367,0.002872,0.002872,0.002872
38,18685.2,0.39004,0.4491,0.90366,0.79358,0.89059,0.89153,0.8426,0.25295,0.31049,0.80306,0.002674,0.002674,0.002674
39,24386.6,0.39697,0.45535,0.90736,0.79031,0.89418,0.89294,0.84397,0.25193,0.30922,0.80269,0.002476,0.002476,0.002476
40,33173.2,0.39142,0.45285,0.90465,0.79452,0.89078,0.89383,0.84562,0.25085,0.30745,0.80209,0.002278,0.002278,0.002278
41,39218.7,0.29927,0.33727,0.85338,0.79254,0.89629,0.89445,0.8465,0.24966,0.30511,0.80156,0.00208,0.00208,0.00208
42,44966.2,0.29334,0.32516,0.85152,0.78968,0.9037,0.89573,0.84827,0.24855,0.30338,0.8013,0.001882,0.001882,0.001882
43,52679.3,0.28664,0.31592,0.84947,0.79573,0.90182,0.89669,0.84996,0.24646,0.30095,0.80045,0.001684,0.001684,0.001684
44,58396.9,0.27995,0.30659,0.847,0.79789,0.9006,0.89762,0.85105,0.24462,0.29921,0.79984,0.001486,0.001486,0.001486
45,64107.5,0.27372,0.29743,0.84572,0.79832,0.90143,0.89802,0.85235,0.24246,0.29793,0.79922,0.001288,0.001288,0.001288
46,69842.8,0.2682,0.2889,0.84228,0.79606,0.90683,0.89859,0.85445,0.24045,0.29544,0.79847,0.00109,0.00109,0.00109
47,75558.2,0.26211,0.28084,0.83847,0.79792,0.90957,0.90003,0.85625,0.23864,0.29364,0.79756,0.000892,0.000892,0.000892
48,93115.7,0.25553,0.27155,0.83589,0.79717,0.9146,0.90102,0.85881,0.23679,0.29142,0.79674,0.000694,0.000694,0.000694
49,98741.9,0.24957,0.26481,0.83547,0.80408,0.90623,0.9019,0.8611,0.23493,0.2896,0.79607,0.000496,0.000496,0.000496
50,104257,0.24354,0.25613,0.83336,0.80301,0.91217,0.90191,0.86148,0.23317,0.28781,0.79523,0.000298,0.000298,0.000298
